Taxon	Colour	Group
Oniscidea_Crinocheta_Trachelipodidae_Protracheoniscus_politus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Trachelipodidae_Trachelipus_kytherensis	'#ff6fcf'	Crinocheta
Oniscidea_Diplocheta_Ligidiidae_Ligidium_hypnorum	'#8000ff'	Diplocheta
Oniscidea_Diplocheta_Ligidiidae_Tauroligidium_stygium	'#8000ff'	Diplocheta
Oniscidea_Diplocheta_Ligidiidae_Typhloligidium_coecum	'#8000ff'	Diplocheta
Oniscidea_Diplocheta_Ligiidae_Ligia_italica	'#8000ff'	Diplocheta
Oniscidea_Diplocheta_Ligiidae_Ligia_oceanica	'#8000ff'	Diplocheta
Oniscidea_Microcheta_Mesoniscidae_Mesoniscus_agricola	'#ff0080'	Microcheta
Oniscidea_Synocheta_Styloniscidae_Styloniscus_sp	'#ff00ff'	Synocheta
Oniscidea_Synocheta_Trichoniscidae_Androniscus_dentiger	'#ff00ff'	Synocheta
Oniscidea_Synocheta_Trichoniscidae_Haplophthalmus_danicus	'#ff00ff'	Synocheta
Oniscidea_Synocheta_Trichoniscidae_Hyloniscus_riparius	'#ff00ff'	Synocheta
Oniscidea_Synocheta_Trichoniscidae_Trichoniscus_pusillus	'#ff00ff'	Synocheta
Oniscidea_Tylida_Tylidae_Helleria_brevicornis	'#cc66ff'	Tylida
Oniscidea_Tylida_Tylidae_Tylos_europaeus	'#cc66ff'	Tylida
Oniscidea_Tylida_Tylidae_Tylos_ponticus	'#cc66ff'	Tylida
Phreatoicidea_Amphisopodidae_Eophreatoicus_sp	'#800000'	Phreatoicidea
Phreatoicidea_Amphisopodidae_Paramphisopus_palustris	'#800000'	Phreatoicidea
Phreatoicidea_Hypsimetopidae_Andhracoides_shabuddin	'#800000'	Phreatoicidea
Phreatoicidea_Phreatoicidae_Colubotelson_thomsoni	'#800000'	Phreatoicidea
Phreatoicidea_Phreatoicopsidae_Phreatoicopsis_raffae	'#800000'	Phreatoicidea
Spelaeogriphacea_Spelaeogriphus_lepidops	'#000000'	Outgroup
Stygiomysida_Stygiomysis_cokei	'#000000'	Outgroup
Sphaeromatidea_Ancinidae_Ancinus_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Seroloidea_Plakarthriidae_Plakarthrium_typicum	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Seroloidea_Serolidae_Atlantoserolis_vemae	'#004080'	Seroloidea
Sphaeromatidea_Seroloidea_Serolidae_Ceratoserolis_pasternaki	'#004080'	Seroloidea
Sphaeromatidea_Seroloidea_Serolidae_Cristaserolis_gaudichaudii	'#004080'	Seroloidea
Sphaeromatidea_Seroloidea_Serolidae_Glabroserolis_sp	'#004080'	Seroloidea
Sphaeromatidea_Seroloidea_Serolidae_Serolis_paradoxa	'#004080'	Seroloidea
Sphaeromatidea_Sphaeromatidae_Cassidinidea_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Cilicaea_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Dynamene_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Exosphaeroma_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Isocladus_armatus	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Paracerceis_sp	'#0000ff'	Sphaeromatoidea
Sphaeromatidea_Sphaeromatidae_Sphaeroma_serratum	'#0000ff'	Sphaeromatoidea
Tainisopidea_Tainisopidae_Pygolabis_humphreysi	'#000080'	Tainisopidea
Tanaidacea_Apseudes_bermudeus	'#000000'	Outgroup
Tanaidacea_Tanais_dulongii	'#000000'	Outgroup
Valvifera_Arcturidae_Antarcturus_spinacoronatus	'#6666ff'	Valvifera
Valvifera_Chaetiliidae_Glyptonotus_antarcticus	'#6666ff'	Valvifera
Valvifera_Holognathidae_Cleantis_prismatica	'#6666ff'	Valvifera
Valvifera_Idoteidae_Erichsonella_attenuata	'#6666ff'	Valvifera
Valvifera_Idoteidae_Idotea_chelipes	'#6666ff'	Valvifera
Valvifera_Idoteidae_Pentidotea_stenops	'#6666ff'	Valvifera
